"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88176","FONTENOY LE CHATEAU","88240","FONTENOY LE CHATEAU",,"47.977908262316575,6.20621551172186","47.977908262316575","6.20621551172186"
"88176","FONTENOY LE CHATEAU","88240","FONTENOY LE CHATEAU","LE MAGNY","47.977908262316575,6.20621551172186","47.977908262316575","6.20621551172186"
"88177","LA FORGE","88530","LA FORGE",,"48.069573619236145,6.720074264793201","48.069573619236145","6.720074264793201"
"88178","LES FORGES","88390","LES FORGES",,"48.17390262845278,6.3939845909018915","48.17390262845278","6.3939845909018915"
"88179","FOUCHECOURT","88320","FOUCHECOURT",,"48.00463232532781,5.864664879480914","48.00463232532781","5.864664879480914"
"88180","FRAIN","88320","FRAIN",,"48.08349383045608,5.8801323777142525","48.08349383045608","5.8801323777142525"
"88181","FRAIZE","88230","FRAIZE",,"48.18756707568721,7.026771827546193","48.18756707568721","7.026771827546193"
"88182","FRAPELLE","88490","FRAPELLE",,"48.294510114236374,7.053057780428077","48.294510114236374","7.053057780428077"
"88183","FREBECOURT","88630","FREBECOURT",,"48.3820683956544,5.67561756359466","48.3820683956544","5.67561756359466"
"88184","FREMIFONTAINE","88600","FREMIFONTAINE",,"48.262517704914444,6.700677212047901","48.262517704914444","6.700677212047901"
"88185","FRENELLE LA GRANDE","88500","FRENELLE LA GRANDE",,"48.35306571943917,6.092991421895771","48.35306571943917","6.092991421895771"
"88186","FRENELLE LA PETITE","88500","FRENELLE LA PETITE",,"48.34957403997462,6.063073956260774","48.34957403997462","6.063073956260774"
"88187","FRENOIS","88270","FRENOIS",,"48.18525381628346,6.122930299300657","48.18525381628346","6.122930299300657"
"88188","FRESSE SUR MOSELLE","88160","FRESSE SUR MOSELLE",,"47.8653226265671,6.80858624241977","47.8653226265671","6.80858624241977"
"88189","FREVILLE","88350","FREVILLE",,"48.32474765539217,5.623478319798713","48.32474765539217","5.623478319798713"
"88190","FRIZON","88440","FRIZON",,"48.28555849002465,6.351736201792722","48.28555849002465","6.351736201792722"
"88192","GELVECOURT ET ADOMPT","88270","GELVECOURT ET ADOMPT",,"48.200131334626086,6.1793865922595295","48.200131334626086","6.1793865922595295"
"88192","GELVECOURT ET ADOMPT","88270","GELVECOURT ET ADOMPT","ADOMPT","48.200131334626086,6.1793865922595295","48.200131334626086","6.1793865922595295"
"88193","GEMAINGOUTTE","88520","GEMAINGOUTTE",,"48.244813255229566,7.104754529568151","48.244813255229566","7.104754529568151"
"88194","GEMMELAINCOURT","88170","GEMMELAINCOURT",,"48.275606444795216,5.968321462803263","48.275606444795216","5.968321462803263"
"88195","GENDREVILLE","88140","GENDREVILLE",,"48.2349007940642,5.715990975363278","48.2349007940642","5.715990975363278"
"88196","GERARDMER","88400","GERARDMER",,"48.06575234260832,6.85310582206445","48.06575234260832","6.85310582206445"
"88197","GERBAMONT","88120","GERBAMONT",,"48.00390684039907,6.769292726231313","48.00390684039907","6.769292726231313"
"88198","GERBEPAL","88430","GERBEPAL",,"48.12987860004279,6.925534373033445","48.12987860004279","6.925534373033445"
"88199","GIGNEVILLE","88320","GIGNEVILLE",,"48.11272144162493,5.918917813018645","48.11272144162493","5.918917813018645"
"88200","GIGNEY","88390","GIGNEY",,"48.230075854625596,6.33709604571394","48.230075854625596","6.33709604571394"
"88201","GIRANCOURT","88390","GIRANCOURT",,"48.14563088530175,6.324206304282575","48.14563088530175","6.324206304282575"
"88202","GIRCOURT LES VIEVILLE","88500","GIRCOURT LES VIEVILLE",,"48.34146850116247,6.195636589629364","48.34146850116247","6.195636589629364"
"88203","GIRECOURT SUR DURBION","88600","GIRECOURT SUR DURBION",,"48.248398055357484,6.597821174605599","48.248398055357484","6.597821174605599"
"88205","GIRMONT VAL D AJOL","88340","GIRMONT VAL D AJOL",,"47.95011120847526,6.565639124452432","47.95011120847526","6.565639124452432"
"88206","GIRONCOURT SUR VRAINE","88170","GIRONCOURT SUR VRAINE",,"48.299792823945324,5.931621510851942","48.299792823945324","5.931621510851942"
"88208","GODONCOURT","88410","GODONCOURT",,"47.996804567297794,5.930630843514912","47.996804567297794","5.930630843514912"
"88209","GOLBEY","88190","GOLBEY",,"48.19865501089625,6.425774741125519","48.19865501089625","6.425774741125519"
"88210","GORHEY","88270","GORHEY",,"48.18985430194441,6.294060298631944","48.18985430194441","6.294060298631944"
"88212","GRAND","88350","GRAND",,"48.39464321654813,5.473235162805022","48.39464321654813","5.473235162805022"
"88213","LA GRANDE FOSSE","88490","LA GRANDE FOSSE",,"48.34147483535361,7.079437337268311","48.34147483535361","7.079437337268311"
"88214","GRANDRUPT DE BAINS","88240","GRANDRUPT DE BAINS",,"48.06437314730556,6.1790157860504955","48.06437314730556","6.1790157860504955"
"88215","GRANDRUPT","88210","GRANDRUPT",,"48.366627940653075,7.060810277408107","48.366627940653075","7.060810277408107"
"88216","GRANDVILLERS","88600","GRANDVILLERS",,"48.23587948108955,6.679428843128509","48.23587948108955","6.679428843128509"
"88218","GRANGES AUMONTZEY","88640","GRANGES AUMONTZEY","AUMONTZEY","48.13422807365823,6.815106116709931","48.13422807365823","6.815106116709931"
"88218","GRANGES AUMONTZEY","88640","GRANGES AUMONTZEY","GRANGES SUR VOLOGNE","48.13422807365823,6.815106116709931","48.13422807365823","6.815106116709931"
"88219","GREUX","88630","GREUX",,"48.45805494440772,5.6664567086758275","48.45805494440772","5.6664567086758275"
"88220","GRIGNONCOURT","88410","GRIGNONCOURT",,"47.96017475554429,5.903972495162458","47.96017475554429","5.903972495162458"
"88221","GRUEY LES SURANCE","88240","GRUEY LES SURANCE",,"48.03464334462408,6.177673689210026","48.03464334462408","6.177673689210026"
"88222","GUGNECOURT","88600","GUGNECOURT",,"48.246498008942446,6.6243638911132585","48.246498008942446","6.6243638911132585"
"88223","GUGNEY AUX AULX","88450","GUGNEY AUX AULX",,"48.298186167384806,6.273844102322805","48.298186167384806","6.273844102322805"
"88224","HADIGNY LES VERRIERES","88330","HADIGNY LES VERRIERES",,"48.32074516624185,6.4754377274277655","48.32074516624185","6.4754377274277655"
"88225","HADOL","88220","HADOL",,"48.084531758308245,6.447549028404891","48.084531758308245","6.447549028404891"
"88226","HAGECOURT","88270","HAGECOURT",,"48.231065712165375,6.155495744034942","48.231065712165375","6.155495744034942"
"88227","HAGNEVILLE ET RONCOURT","88300","HAGNEVILLE ET RONCOURT",,"48.24590848521525,5.7870778025562455","48.24590848521525","5.7870778025562455"
"88227","HAGNEVILLE ET RONCOURT","88300","HAGNEVILLE ET RONCOURT","RONCOURT","48.24590848521525,5.7870778025562455","48.24590848521525","5.7870778025562455"
"88228","HAILLAINVILLE","88330","HAILLAINVILLE",,"48.3967753037374,6.49642518672316","48.3967753037374","6.49642518672316"
"88229","HARCHECHAMP","88300","HARCHECHAMP",,"48.40737763195314,5.801541537964068","48.40737763195314","5.801541537964068"
"88230","HARDANCOURT","88700","HARDANCOURT",,"48.37940249122167,6.560123540153005","48.37940249122167","6.560123540153005"
"88231","HAREVILLE","88800","HAREVILLE",,"48.20250014207904,6.0187689387907595","48.20250014207904","6.0187689387907595"
"88232","HARMONVILLE","88300","HARMONVILLE",,"48.461754413122875,5.869844651986938","48.461754413122875","5.869844651986938"
"88233","HAROL","88270","HAROL",,"48.14645560190222,6.249244383295569","48.14645560190222","6.249244383295569"
"88236","LA HAYE","88240","LA HAYE",,"48.060987723667324,6.198332449725616","48.060987723667324","6.198332449725616"
"88237","HENNECOURT","88270","HENNECOURT",,"48.218015834148204,6.2902327147290755","48.218015834148204","6.2902327147290755"
"88238","HENNEZEL","88260","HENNEZEL",,"48.04884102283272,6.113693744596095","48.04884102283272","6.113693744596095"
"88239","HERGUGNEY","88130","HERGUGNEY",,"48.38973714036261,6.21043118430171","48.38973714036261","6.21043118430171"
"88240","HERPELMONT","88600","HERPELMONT",,"48.16632338031691,6.7312345546192365","48.16632338031691","6.7312345546192365"
"88241","HOUECOURT","88170","HOUECOURT",,"48.29150590490332,5.897663290863903","48.29150590490332","5.897663290863903"
"88242","HOUEVILLE","88300","HOUEVILLE",,"48.370340249211154,5.807414229449671","48.370340249211154","5.807414229449671"
"88243","HOUSSERAS","88700","HOUSSERAS",,"48.307008753744284,6.7322067231007665","48.307008753744284","6.7322067231007665"
"88244","LA HOUSSIERE","88430","LA HOUSSIERE",,"48.20916144244052,6.864221722367033","48.20916144244052","6.864221722367033"
"88245","HURBACHE","88210","HURBACHE",,"48.3439367434571,6.9294850051897825","48.3439367434571","6.9294850051897825"
"88246","HYMONT","88500","HYMONT",,"48.263480504743185,6.135982456758037","48.263480504743185","6.135982456758037"
"88247","IGNEY","88150","IGNEY",,"48.27668391560182,6.393394446135558","48.27668391560182","6.393394446135558"
"88248","ISCHES","88320","ISCHES",,"48.01779641086624,5.820284226557417","48.01779641086624","5.820284226557417"
"88249","JAINVILLOTTE","88300","JAINVILLOTTE",,"48.2573208742419,5.704032090756304","48.2573208742419","5.704032090756304"
"88250","JARMENIL","88550","JARMENIL",,"48.115367756062895,6.593049046533033","48.115367756062895","6.593049046533033"
"88251","JEANMENIL","88700","JEANMENIL",,"48.32953852898687,6.722842066559504","48.32953852898687","6.722842066559504"
"88252","JESONVILLE","88260","JESONVILLE",,"48.123958349115036,6.114873694728212","48.123958349115036","6.114873694728212"
"88253","JEUXEY","88000","JEUXEY",,"48.20331477690371,6.491794439185458","48.20331477690371","6.491794439185458"
"88254","JORXEY","88500","JORXEY",,"48.30638109769889,6.236277961475892","48.30638109769889","6.236277961475892"
"88255","JUBAINVILLE","88630","JUBAINVILLE",,"48.45715851442035,5.75079212685957","48.45715851442035","5.75079212685957"
"88256","JUSSARUPT","88640","JUSSARUPT",,"48.15761387571453,6.746995121111674","48.15761387571453","6.746995121111674"
"88257","JUVAINCOURT","88500","JUVAINCOURT",,"48.33282024443922,6.063067120652391","48.33282024443922","6.063067120652391"
"88258","LAMARCHE","88320","LAMARCHE",,"48.061705508149025,5.7727460642602715","48.061705508149025","5.7727460642602715"
"88259","LANDAVILLE","88300","LANDAVILLE",,"48.28405607755522,5.7467307106759336","48.28405607755522","5.7467307106759336"
"88260","LANGLEY","88130","LANGLEY",,"48.36047799369158,6.331923920208469","48.36047799369158","6.331923920208469"
"88261","LAVAL SUR VOLOGNE","88600","LAVAL SUR VOLOGNE",,"48.19528130573852,6.688285795180795","48.19528130573852","6.688285795180795"
"88262","LAVELINE DEVANT BRUYERES","88600","LAVELINE DEVANT BRUYERES",,"48.18661465260929,6.757402547887716","48.18661465260929","6.757402547887716"
"88263","LAVELINE DU HOUX","88640","LAVELINE DU HOUX",,"48.13972001500658,6.70914525302651","48.13972001500658","6.70914525302651"
"88264","LEGEVILLE ET BONFAYS","88270","LEGEVILLE ET BONFAYS",,"48.185727002080824,6.154590589650857","48.185727002080824","6.154590589650857"
"88265","LEMMECOURT","88300","LEMMECOURT",,"48.26351436859994,5.7327984539927455","48.26351436859994","5.7327984539927455"
"88266","LEPANGES SUR VOLOGNE","88600","LEPANGES SUR VOLOGNE",,"48.179979680127374,6.669129356450158","48.179979680127374","6.669129356450158"
"88267","LERRAIN","88260","LERRAIN",,"48.132534349784876,6.1456706904350815","48.132534349784876","6.1456706904350815"
"88268","LESSEUX","88490","LESSEUX",,"48.280695474424135,7.085541253034383","48.280695474424135","7.085541253034383"
"88269","LIEZEY","88400","LIEZEY",,"48.09713298736622,6.804000376048149","48.09713298736622","6.804000376048149"
"88270","LIFFOL LE GRAND","88350","LIFFOL LE GRAND",,"48.31612279227711,5.5728195088612065","48.31612279227711","5.5728195088612065"
"88271","LIGNEVILLE","88800","LIGNEVILLE",,"48.16175660931188,5.951313299380217","48.16175660931188","5.951313299380217"
"88272","LIRONCOURT","88410","LIRONCOURT",,"47.97086307129142,5.880586356021158","47.97086307129142","5.880586356021158"
"88273","LONGCHAMP","88000","LONGCHAMP",,"48.21662123321603,6.52707007497587","48.21662123321603","6.52707007497587"
"88274","LONGCHAMP SOUS CHATENOIS","88170","LONGCHAMP SOUS CHATENOIS",,"48.286751257679164,5.8346286828502425","48.286751257679164","5.8346286828502425"
"88275","LUBINE","88490","LUBINE",,"48.31989630581084,7.167847088853197","48.31989630581084","7.167847088853197"
"88276","LUSSE","88490","LUSSE",,"48.28774519823702,7.12489954415282","48.28774519823702","7.12489954415282"
"88277","LUVIGNY","88110","LUVIGNY",,"48.49841997006551,7.074137453495052","48.49841997006551","7.074137453495052"
"88278","MACONCOURT","88170","MACONCOURT",,"48.3633618002023,5.936364142608213","48.3633618002023","5.936364142608213"
"88279","MADECOURT","88270","MADECOURT",,"48.2403338924946,6.114142074073287","48.2403338924946","6.114142074073287"
"88280","MADEGNEY","88450","MADEGNEY",,"48.28429760099556,6.287476063248114","48.28429760099556","6.287476063248114"
"88281","MADONNE ET LAMEREY","88270","MADONNE ET LAMEREY",,"48.22366578222171,6.245203035891732","48.22366578222171","6.245203035891732"
"88283","MALAINCOURT","88140","MALAINCOURT",,"48.2265304823712,5.767257663919817","48.2265304823712","5.767257663919817"
"88284","MANDRAY","88650","MANDRAY",,"48.21207998534133,7.0008342356697835","48.21207998534133","7.0008342356697835"
"88285","MANDRES SUR VAIR","88800","MANDRES SUR VAIR",,"48.221243127866465,5.886652876188375","48.221243127866465","5.886652876188375"
"88286","MARAINVILLE SUR MADON","88130","MARAINVILLE SUR MADON",,"48.39616080234897,6.16566142283119","48.39616080234897","6.16566142283119"
"88287","MAREY","88320","MAREY",,"48.10506801074864,5.907572708839595","48.10506801074864","5.907572708839595"
"88288","MARONCOURT","88270","MARONCOURT",,"48.24484340162397,6.16344471868492","48.24484340162397","6.16344471868492"
"88289","MARTIGNY LES BAINS","88320","MARTIGNY LES BAINS",,"48.10940777714043,5.807504793196079","48.10940777714043","5.807504793196079"
"88290","MARTIGNY LES GERBONVAUX","88300","MARTIGNY LES GERBONVAUX",,"48.447068997298594,5.792933585833584","48.447068997298594","5.792933585833584"
"88291","MARTINVELLE","88410","MARTINVELLE",,"47.98886030768104,6.016705925058951","47.98886030768104","6.016705925058951"
"88292","MATTAINCOURT","88500","MATTAINCOURT",,"48.27861838802417,6.122232787851418","48.27861838802417","6.122232787851418"
"88293","MAXEY SUR MEUSE","88630","MAXEY SUR MEUSE",,"48.4492083151298,5.716719996981124","48.4492083151298","5.716719996981124"
"88294","MAZELEY","88150","MAZELEY",,"48.25067513201365,6.339194630288921","48.25067513201365","6.339194630288921"
"88295","MAZIROT","88500","MAZIROT",,"48.32195574326816,6.159878002815393","48.32195574326816","6.159878002815393"
"88296","MEDONVILLE","88140","MEDONVILLE",,"48.21506310322853,5.733604330803206","48.21506310322853","5.733604330803206"
"88297","MEMENIL","88600","MEMENIL",,"48.209094976011656,6.616951091104182","48.209094976011656","6.616951091104182"
"88298","MENARMONT","88700","MENARMONT",,"48.41723519722781,6.645622820539257","48.41723519722781","6.645622820539257"
"88299","MENIL EN XAINTOIS","88500","MENIL EN XAINTOIS",,"48.29884692175809,5.972555357548902","48.29884692175809","5.972555357548902"
"88300","MENIL DE SENONES","88210","MENIL DE SENONES",,"48.37397393081681,6.9959848713097665","48.37397393081681","6.9959848713097665"
"88301","MENIL SUR BELVITTE","88700","MENIL SUR BELVITTE",,"48.385642973357044,6.695988870126898","48.385642973357044","6.695988870126898"
"88302","LE MENIL","88160","LE MENIL",,"47.91653261820602,6.820626164964187","47.91653261820602","6.820626164964187"
"88303","MIDREVAUX","88630","MIDREVAUX",,"48.38692373761298,5.582707235671565","48.38692373761298","5.582707235671565"
"88304","MIRECOURT","88500","MIRECOURT",,"48.29364927917702,6.118709390225352","48.29364927917702","6.118709390225352"
"88305","MONCEL SUR VAIR","88630","MONCEL SUR VAIR",,"48.42209604349208,5.704387184172312","48.42209604349208","5.704387184172312"
"88306","LE MONT","88210","LE MONT",,"48.4114058043004,7.024319735264726","48.4114058043004","7.024319735264726"
"88307","MONT LES LAMARCHE","88320","MONT LES LAMARCHE",,"48.022948254105074,5.798407032111368","48.022948254105074","5.798407032111368"
"88308","MONT LES NEUFCHATEAU","88300","MONT LES NEUFCHATEAU",,"48.35131122878829,5.64520022747531","48.35131122878829","5.64520022747531"
"88309","MONTHUREUX LE SEC","88800","MONTHUREUX LE SEC",,"48.16911106508978,6.025421268117232","48.16911106508978","6.025421268117232"
"88310","MONTHUREUX SUR SAONE","88410","MONTHUREUX SUR SAONE",,"48.028934158971566,5.963539607081391","48.028934158971566","5.963539607081391"
"88311","MONTMOTIER","88240","MONTMOTIER",,"47.98146191983328,6.171785447572477","47.98146191983328","6.171785447572477"
"88312","MORELMAISON","88170","MORELMAISON",,"48.32196025992166,5.913172676126759","48.32196025992166","5.913172676126759"
"88313","MORIVILLE","88330","MORIVILLE",,"48.35145972981897,6.413638104763566","48.35145972981897","6.413638104763566"
"88314","MORIZECOURT","88320","MORIZECOURT",,"48.0697067652338,5.858920066372066","48.0697067652338","5.858920066372066"
"88315","MORTAGNE","88600","MORTAGNE",,"48.27349904871471,6.7960920443381365","48.27349904871471","6.7960920443381365"
"88316","MORVILLE","88140","MORVILLE",,"48.234008816253514,5.795050769579525","48.234008816253514","5.795050769579525"
"88317","MOUSSEY","88210","MOUSSEY",,"48.44970588833208,7.059328740738252","48.44970588833208","7.059328740738252"
"88318","MOYEMONT","88700","MOYEMONT",,"48.34380916748956,6.545454936042793","48.34380916748956","6.545454936042793"
"88319","MOYENMOUTIER","88420","MOYENMOUTIER",,"48.38930775215631,6.91458873101712","48.38930775215631","6.91458873101712"
"88320","NAYEMONT LES FOSSES","88100","NAYEMONT LES FOSSES",,"48.2938629551854,7.011488233683435","48.2938629551854","7.011488233683435"
"88321","NEUFCHATEAU","88300","NEUFCHATEAU",,"48.356817557437154,5.702633134700626","48.356817557437154","5.702633134700626"
"88321","NEUFCHATEAU","88300","NEUFCHATEAU","ROLLAINVILLE","48.356817557437154,5.702633134700626","48.356817557437154","5.702633134700626"
"88322","LA NEUVEVILLE DEVANT LEPANGES","88600","LA NEUVEVILLE DEVANT LEPANGES",,"48.15454982137341,6.6617945097525215","48.15454982137341","6.6617945097525215"
"88322","LA NEUVEVILLE DEVANT LEPANGES","88600","LA NEUVEVILLE DEVANT LEPANGES","LE BOULAY","48.15454982137341,6.6617945097525215","48.15454982137341","6.6617945097525215"
"88322","LA NEUVEVILLE DEVANT LEPANGES","88600","LA NEUVEVILLE DEVANT LEPANGES","ST JEAN DU MARCHE","48.15454982137341,6.6617945097525215","48.15454982137341","6.6617945097525215"
"88324","LA NEUVEVILLE SOUS CHATENOIS","88170","LA NEUVEVILLE SOUS CHATENOIS",,"48.28618262583326,5.874043168848656","48.28618262583326","5.874043168848656"
"88325","LA NEUVEVILLE SOUS MONTFORT","88800","LA NEUVEVILLE SOUS MONTFORT",,"48.229983365981084,6.0195560374409025","48.229983365981084","6.0195560374409025"
"88326","NEUVILLERS SUR FAVE","88100","NEUVILLERS SUR FAVE",,"48.28542282428715,7.035116212086345","48.28542282428715","7.035116212086345"
"88327","NOMEXY","88440","NOMEXY",,"48.30730757753851,6.371334646624158","48.30730757753851","6.371334646624158"
"88328","NOMPATELIZE","88470","NOMPATELIZE",,"48.32738441089131,6.86076156703547","48.32738441089131","6.86076156703547"
"88330","NONVILLE","88260","NONVILLE",,"48.09076970892639,5.982967823553314","48.09076970892639","5.982967823553314"
"88331","NONZEVILLE","88600","NONZEVILLE",,"48.26624704474979,6.631254886885496","48.26624704474979","6.631254886885496"
"88332","NORROY","88800","NORROY",,"48.21533086382394,5.919003154689548","48.21533086382394","5.919003154689548"
"88333","NOSSONCOURT","88700","NOSSONCOURT",,"48.39998395483478,6.675887018470486","48.39998395483478","6.675887018470486"
"88334","OELLEVILLE","88500","OELLEVILLE",,"48.336258887446974,6.020341722780663","48.336258887446974","6.020341722780663"
"88335","OFFROICOURT","88500","OFFROICOURT",,"48.281421004670875,6.029567532410168","48.281421004670875","6.029567532410168"
"88336","OLLAINVILLE","88170","OLLAINVILLE",,"48.270061375245234,5.802571822586944","48.270061375245234","5.802571822586944"
"88338","ORTONCOURT","88700","ORTONCOURT",,"48.36873138877347,6.51103575754005","48.36873138877347","6.51103575754005"
"88340","PADOUX","88700","PADOUX",,"48.291874975242195,6.56626238235974","48.291874975242195","6.56626238235974"
"88341","PAIR ET GRANDRUPT","88100","PAIR ET GRANDRUPT",,"48.28235988036863,7.010669109015879","48.28235988036863","7.010669109015879"
"88342","PALLEGNEY","88330","PALLEGNEY",,"48.28880009656595,6.44791570236481","48.28880009656595","6.44791570236481"
"88343","PAREY SOUS MONTFORT","88800","PAREY SOUS MONTFORT",,"48.25123730709795,5.946290682372073","48.25123730709795","5.946290682372073"
"88344","PARGNY SOUS MUREAU","88350","PARGNY SOUS MUREAU",,"48.363784974814976,5.5900504895986565","48.363784974814976","5.5900504895986565"
"88345","LA PETITE FOSSE","88490","LA PETITE FOSSE",,"48.3183864697954,7.052584854832434","48.3183864697954","7.052584854832434"
"88346","LA PETITE RAON","88210","LA PETITE RAON",,"48.4204638743535,6.993951218097658","48.4204638743535","6.993951218097658"
"88347","PIERREFITTE","88270","PIERREFITTE",,"48.163302278084046,6.17382334283135","48.163302278084046","6.17382334283135"
"88348","PIERREPONT SUR L ARENTELE","88600","PIERREPONT SUR L ARENTELE",,"48.26281979753031,6.658125755280602","48.26281979753031","6.658125755280602"
"88349","PLAINFAING","88230","PLAINFAING",,"48.1430317185817,7.040671119864552","48.1430317185817","7.040671119864552"
"88350","PLEUVEZAIN","88170","PLEUVEZAIN",,"48.37717197637696,5.915265230914788","48.37717197637696","5.915265230914788"
"88351","PLOMBIERES LES BAINS","88370","PLOMBIERES LES BAINS",,"47.968597527201716,6.4433536247347885","47.968597527201716","6.4433536247347885"
"88351","PLOMBIERES LES BAINS","88370","PLOMBIERES LES BAINS","GRANGES DE PLOMBIERES","47.968597527201716,6.4433536247347885","47.968597527201716","6.4433536247347885"
"88351","PLOMBIERES LES BAINS","88370","PLOMBIERES LES BAINS","RUAUX","47.968597527201716,6.4433536247347885","47.968597527201716","6.4433536247347885"
"88352","POMPIERRE","88300","POMPIERRE",,"48.27821738214092,5.676651860324093","48.27821738214092","5.676651860324093"
"88353","PONT LES BONFAYS","88260","PONT LES BONFAYS",,"48.167486432797716,6.141146319003989","48.167486432797716","6.141146319003989"
"88354","PONT SUR MADON","88500","PONT SUR MADON",,"48.36995536653632,6.151487309509989","48.36995536653632","6.151487309509989"
"88355","PORTIEUX","88330","PORTIEUX",,"48.34465160712682,6.360057553774116","48.34465160712682","6.360057553774116"
